RequestID,Status,ResponseTime(s),Size(bytes),Timestamp
4,200,0.1448,400477,2025-11-16 18:48:15
5,200,0.1487,400477,2025-11-16 18:48:15
3,200,0.1522,400477,2025-11-16 18:48:15
1,200,0.1564,400477,2025-11-16 18:48:15
2,200,0.1567,400477,2025-11-16 18:48:15
10,429,0.0165,118,2025-11-16 18:48:17
9,200,0.1126,400477,2025-11-16 18:48:17
8,200,0.1154,400477,2025-11-16 18:48:17
6,200,0.1195,400477,2025-11-16 18:48:17
7,200,0.1198,400477,2025-11-16 18:48:17
13,200,0.1464,400477,2025-11-16 18:48:20
14,200,0.1456,400476,2025-11-16 18:48:20
15,200,0.1429,400476,2025-11-16 18:48:20
11,200,0.1529,400477,2025-11-16 18:48:20
12,200,0.1531,400477,2025-11-16 18:48:20
16,200,0.1118,400477,2025-11-16 18:48:22
18,200,0.1185,400476,2025-11-16 18:48:22
19,200,0.1175,400476,2025-11-16 18:48:22
17,200,0.1228,400477,2025-11-16 18:48:22
20,200,0.1175,400477,2025-11-16 18:48:22
21,429,0.0134,118,2025-11-16 18:48:24
22,429,0.0188,118,2025-11-16 18:48:24
23,429,0.0217,118,2025-11-16 18:48:24
24,429,0.0254,118,2025-11-16 18:48:24
25,429,0.0262,118,2025-11-16 18:48:24
